path	colname
data_exploration\tfm\tables\pos_split_word_stats.xlsx	subword_token_%_train
data_exploration\tfm\tables\pos_split_word_stats.xlsx	split_word_%
data_exploration\tfm\tables\pos_split_word_stats.xlsx	avg_subwords_per_split
data_exploration\tfm\tables\pos_split_word_stats.xlsx	subword_token_%
data_exploration\tfm\tables\pos_text_types.xlsx	Group
data_exploration\tfm\tables\pos_text_types.xlsx	Language
data_exploration\tfm\tables\pos_text_types.xlsx	Train/Dev dataset
data_exploration\tfm\tables\pos_text_types.xlsx	Train/Dev text type
data_exploration\tfm\tables\pos_text_types.xlsx	Test dataset
data_exploration\tfm\tables\pos_text_types.xlsx	Test text type
data_exploration\tfm\tables\pos_type_to_token.xlsx	Language
data_exploration\tfm\tables\pos_type_to_token.xlsx	train_ttr
data_exploration\tfm\tables\pos_type_to_token.xlsx	dev_ttr
data_exploration\tfm\tables\pos_type_to_token.xlsx	test_ttr
data_exploration\tfm\tables\pos_type_to_token.xlsx	train_twr
data_exploration\tfm\tables\pos_type_to_token.xlsx	dev_twr
data_exploration\tfm\tables\pos_type_to_token.xlsx	test_twr
data_exploration\tfm\tables\pos_type_to_token.xlsx	grez_ttr
data_exploration\tfm\tables\pos_type_to_token.xlsx	dif_grez_ttr
data_exploration\tfm\tables\pos_type_to_token.xlsx	dif_grez_ttr_%
data_exploration\tfm\tables\relative_lengths.xlsx	Language
data_exploration\tfm\tables\relative_lengths.xlsx	Relative Difference (%)
data_exploration\tfm\tables\relative_lengths.xlsx	test_avg_tokens_pos
data_exploration\tfm\tables\relative_lengths.xlsx	expected_length_pos
data_exploration\tfm\tables\relative_lengths.xlsx	difference_expected_pos
data_exploration\tfm\tables\relative_lengths.xlsx	test_avg_tokens_sentiment
data_exploration\tfm\tables\relative_lengths.xlsx	expected_length_sentiment
data_exploration\tfm\tables\relative_lengths.xlsx	difference_expected_sentiment
data_exploration\tfm\tables\sentiment_above_length.xlsx	language
data_exploration\tfm\tables\sentiment_above_length.xlsx	train >256
data_exploration\tfm\tables\sentiment_above_length.xlsx	train >256(%)
data_exploration\tfm\tables\sentiment_above_length.xlsx	train >512
data_exploration\tfm\tables\sentiment_above_length.xlsx	train >512(%)
data_exploration\tfm\tables\sentiment_above_length.xlsx	dev >256
data_exploration\tfm\tables\sentiment_above_length.xlsx	dev >256(%)
data_exploration\tfm\tables\sentiment_above_length.xlsx	dev >512
data_exploration\tfm\tables\sentiment_above_length.xlsx	dev >512(%)
data_exploration\tfm\tables\sentiment_above_length.xlsx	test >256
data_exploration\tfm\tables\sentiment_above_length.xlsx	test >256(%)
data_exploration\tfm\tables\sentiment_above_length.xlsx	test >512
data_exploration\tfm\tables\sentiment_above_length.xlsx	test >512(%)
data_exploration\tfm\tables\sentiment_above_length.xlsx	>256
data_exploration\tfm\tables\sentiment_above_length.xlsx	>256(%)
data_exploration\tfm\tables\sentiment_above_length.xlsx	>512
data_exploration\tfm\tables\sentiment_above_length.xlsx	>512(%)
data_exploration\tfm\tables\sentiment_balance.xlsx	Language
data_exploration\tfm\tables\sentiment_balance.xlsx	Positive
data_exploration\tfm\tables\sentiment_balance.xlsx	Total
data_exploration\tfm\tables\sentiment_balance.xlsx	Ratio
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	language
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	train_examples
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	dev_examples
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	test_examples
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	train_avg_tokens
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	dev_avg_tokens
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	test_avg_tokens
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	train_hapaxes
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	train_hapaxes(%)
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	dev_hapaxes
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	dev_hapaxes(%)
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	test_hapaxes
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	test_hapaxes(%)
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	train_unknown
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	train_unknown(%)
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	dev_unknown
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	dev_unknown(%)
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	test_unknown
data_exploration\tfm\tables\sentiment_basic_stats.xlsx	test_unknown(%)
data_exploration\tfm\tables\sentiment_text_types.xlsx	Group
data_exploration\tfm\tables\sentiment_text_types.xlsx	Language
data_exploration\tfm\tables\sentiment_text_types.xlsx	Text type
data_exploration\tfm\tables\sentiment_text_types.xlsx	Topic(s)
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	TRAIN
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 1
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 2
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 3
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 4
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	DEV
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 6
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 7
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 8
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 9
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	TEST
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 11
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 12
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 13
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 14
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	TOTAL
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 16
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 17
data_exploration\tfm\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 18
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	TRAIN
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 1
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 2
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 3
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 4
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	DEV
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 6
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 7
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 8
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 9
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	TEST
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 11
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 12
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 13
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 14
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	TOTAL
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 16
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 17
data_exploration\tfm\tag_stats\tag_stats_fusional.xlsx	Unnamed: 18
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	TRAIN
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 1
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 2
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 3
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 4
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	DEV
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 6
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 7
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 8
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 9
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	TEST
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 11
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 12
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 13
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 14
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	TOTAL
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 16
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 17
data_exploration\tfm\tag_stats\tag_stats_introflexive.xlsx	Unnamed: 18
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	TRAIN
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 1
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 2
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 3
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 4
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	DEV
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 6
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 7
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 8
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 9
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	TEST
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 11
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 12
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 13
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 14
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	TOTAL
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 16
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 17
data_exploration\tfm\tag_stats\tag_stats_isolating.xlsx	Unnamed: 18
results\tfm\baselines_pos.xlsx	Language
results\tfm\baselines_pos.xlsx	Baseline
results\tfm\baselines_sentiment.xlsx	Language
results\tfm\baselines_sentiment.xlsx	Baseline
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Train Group
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Train Language
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Test Language
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Cross
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Test Group
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Within
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Transfer
results\tfm\mbert\balanced_length\melted_results_pos_balanced_length.xlsx	Group Difference
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Train Group
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Train Language
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Test Language
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Cross
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Test Group
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Within
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Transfer
results\tfm\mbert\balanced_length\melted_results_sentiment_balanced_length.xlsx	Group Difference
results\tfm\mbert\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Group
results\tfm\mbert\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Language
results\tfm\mbert\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Cross-Language-Accuracy
results\tfm\mbert\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Within-Language-Accuracy
results\tfm\mbert\balanced_length\pos_within_cross_accuracy_balanced_length.xlsx	Mean-Accuracy-Over-Language
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Language
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Arabic
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Bulgarian
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	English
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Basque
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Finnish
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Hebrew
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Croatian
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Japanese
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Korean
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Russian
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Slovak
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Turkish
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Vietnamese
results\tfm\mbert\balanced_length\results_pos_balanced_length.xlsx	Chinese
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Group
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Test\Train
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Bulgarian
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	English
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Russian
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Slovak
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Croatian
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Chinese
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Vietnamese
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Thai
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Finnish
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Basque
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Japanese
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Korean
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Turkish
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Arabic
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Hebrew
results\tfm\mbert\balanced_length\results_pos_postprocessed_balanced_length.xlsx	Baseline
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Language
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Arabic
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Bulgarian
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	English
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Basque
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Finnish
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Hebrew
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Croatian
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Korean
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Slovak
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Thai
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Vietnamese
results\tfm\mbert\balanced_length\results_sentiment_balanced_length.xlsx	Chinese
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Group
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Test\Train
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Bulgarian
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	English
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Slovak
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Croatian
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Chinese
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Vietnamese
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Thai
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Finnish
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Basque
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Korean
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Arabic
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Hebrew
results\tfm\mbert\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Baseline
results\tfm\mbert\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Group
results\tfm\mbert\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Language
results\tfm\mbert\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Cross-Language-F1
results\tfm\mbert\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Within-Language-F1
results\tfm\mbert\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Mean-F1-Over-Language
results\tfm\mbert\main_results\melted_results_pos.xlsx	Train Group
results\tfm\mbert\main_results\melted_results_pos.xlsx	Train Language
results\tfm\mbert\main_results\melted_results_pos.xlsx	Test Language
results\tfm\mbert\main_results\melted_results_pos.xlsx	Cross
results\tfm\mbert\main_results\melted_results_pos.xlsx	Test Group
results\tfm\mbert\main_results\melted_results_pos.xlsx	Within
results\tfm\mbert\main_results\melted_results_pos.xlsx	Transfer
results\tfm\mbert\main_results\melted_results_pos.xlsx	Group Difference
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Train Group
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Train Language
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Test Language
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Cross
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Test Group
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Within
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Transfer
results\tfm\mbert\main_results\melted_results_sentiment.xlsx	Group Difference
results\tfm\mbert\main_results\pos_within_cross_accuracy.xlsx	Group
results\tfm\mbert\main_results\pos_within_cross_accuracy.xlsx	Language
results\tfm\mbert\main_results\pos_within_cross_accuracy.xlsx	Cross-Language-Accuracy
results\tfm\mbert\main_results\pos_within_cross_accuracy.xlsx	Within-Language-Accuracy
results\tfm\mbert\main_results\pos_within_cross_accuracy.xlsx	Mean-Accuracy-Over-Language
results\tfm\mbert\main_results\pos_within_cross_accuracy.xlsx	PUD
results\tfm\mbert\main_results\results_pos.xlsx	Language
results\tfm\mbert\main_results\results_pos.xlsx	English
results\tfm\mbert\main_results\results_pos.xlsx	Arabic
results\tfm\mbert\main_results\results_pos.xlsx	Bulgarian
results\tfm\mbert\main_results\results_pos.xlsx	Basque
results\tfm\mbert\main_results\results_pos.xlsx	Finnish
results\tfm\mbert\main_results\results_pos.xlsx	Hebrew
results\tfm\mbert\main_results\results_pos.xlsx	Croatian
results\tfm\mbert\main_results\results_pos.xlsx	Japanese
results\tfm\mbert\main_results\results_pos.xlsx	Korean
results\tfm\mbert\main_results\results_pos.xlsx	Russian
results\tfm\mbert\main_results\results_pos.xlsx	Slovak
results\tfm\mbert\main_results\results_pos.xlsx	Turkish
results\tfm\mbert\main_results\results_pos.xlsx	Vietnamese
results\tfm\mbert\main_results\results_pos.xlsx	Chinese
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Group
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Test\Train
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Bulgarian
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	English
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Russian
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Slovak
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Croatian
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Chinese
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Vietnamese
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Thai
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Finnish
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Basque
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Japanese
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Korean
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Turkish
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Arabic
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Hebrew
results\tfm\mbert\main_results\results_pos_postprocessed.xlsx	Baseline
results\tfm\mbert\main_results\results_sentiment.xlsx	Language
results\tfm\mbert\main_results\results_sentiment.xlsx	English
results\tfm\mbert\main_results\results_sentiment.xlsx	Basque
results\tfm\mbert\main_results\results_sentiment.xlsx	Finnish
results\tfm\mbert\main_results\results_sentiment.xlsx	Vietnamese
results\tfm\mbert\main_results\results_sentiment.xlsx	Croatian
results\tfm\mbert\main_results\results_sentiment.xlsx	Chinese
results\tfm\mbert\main_results\results_sentiment.xlsx	Bulgarian
results\tfm\mbert\main_results\results_sentiment.xlsx	Slovak
results\tfm\mbert\main_results\results_sentiment.xlsx	Thai
results\tfm\mbert\main_results\results_sentiment.xlsx	Korean
results\tfm\mbert\main_results\results_sentiment.xlsx	Hebrew
results\tfm\mbert\main_results\results_sentiment.xlsx	Arabic
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Group
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Test\Train
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Bulgarian
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	English
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Slovak
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Croatian
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Chinese
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Vietnamese
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Thai
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Finnish
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Basque
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Korean
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Arabic
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Hebrew
results\tfm\mbert\main_results\results_sentiment_postprocessed.xlsx	Baseline
results\tfm\mbert\main_results\sentiment_within_cross_f1.xlsx	Group
results\tfm\mbert\main_results\sentiment_within_cross_f1.xlsx	Language
results\tfm\mbert\main_results\sentiment_within_cross_f1.xlsx	Cross-Language-F1
results\tfm\mbert\main_results\sentiment_within_cross_f1.xlsx	Within-Language-F1
results\tfm\mbert\main_results\sentiment_within_cross_f1.xlsx	Mean-F1-Over-Language
